	Token Name: INTEGER 	Lexeme: int 	 Lineno: 1
	Token Name: NAME 	Lexeme: a 	 Lineno: 1
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 1
	Token Name: VOID 	Lexeme: void 	 Lineno: 2
	Token Name: NAME 	Lexeme: main 	 Lineno: 2
	Token Name: DELIMITERS 	Lexeme: ( 	 Lineno: 2
	Token Name: DELIMITERS 	Lexeme: ) 	 Lineno: 2
	Token Name: DELIMITERS 	Lexeme: { 	 Lineno: 3
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 4
	Token Name: NAME 	Lexeme: b 	 Lineno: 4
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 4
	Token Name: NAME 	Lexeme: c 	 Lineno: 4
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 4
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 5
	Token Name: NAME 	Lexeme: d 	 Lineno: 5
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 5
	Token Name: NAME 	Lexeme: a 	 Lineno: 6
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 6
	Token Name: MINUS 	Lexeme: - 	 Lineno: 6
	Token Name: NUM 	Lexeme: 100000000 	 Lineno: 6
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 6
	Token Name: NAME 	Lexeme: c 	 Lineno: 7
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 7
	Token Name: NAME 	Lexeme: a 	 Lineno: 7
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 7
	Token Name: NAME 	Lexeme: b 	 Lineno: 8
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 8
	Token Name: NUM 	Lexeme: 123456789 	 Lineno: 8
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 8
	Token Name: NAME 	Lexeme: c 	 Lineno: 9
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 9
	Token Name: NAME 	Lexeme: b 	 Lineno: 9
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 9
	Token Name: NAME 	Lexeme: d 	 Lineno: 10
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 10
	Token Name: MINUS 	Lexeme: - 	 Lineno: 10
	Token Name: MINUS 	Lexeme: - 	 Lineno: 10
	Token Name: FNUM 	Lexeme: 456871.456 	 Lineno: 10
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 10
	Token Name: NAME 	Lexeme: c 	 Lineno: 11
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 11
	Token Name: NAME 	Lexeme: b 	 Lineno: 11
	Token Name: MINUS 	Lexeme: - 	 Lineno: 11
	Token Name: NAME 	Lexeme: d 	 Lineno: 11
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 11
	Token Name: DELIMITERS 	Lexeme: } 	 Lineno: 12
