	Token Name: VOID 	Lexeme: void 	 Lineno: 1
	Token Name: NAME 	Lexeme: main 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: ( 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: ) 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: { 	 Lineno: 2
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 3
	Token Name: NAME 	Lexeme: a 	 Lineno: 3
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 3
	Token Name: NAME 	Lexeme: b 	 Lineno: 3
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 3
	Token Name: NAME 	Lexeme: c 	 Lineno: 3
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 3
	Token Name: NAME 	Lexeme: a 	 Lineno: 4
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 4
	Token Name: FNUM 	Lexeme: 2.555 	 Lineno: 4
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 4
	Token Name: NAME 	Lexeme: c 	 Lineno: 5
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 5
	Token Name: NAME 	Lexeme: a 	 Lineno: 5
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 5
	Token Name: NAME 	Lexeme: b 	 Lineno: 6
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 6
	Token Name: MINUS 	Lexeme: - 	 Lineno: 6
	Token Name: FNUM 	Lexeme: .333 	 Lineno: 6
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 6
	Token Name: NAME 	Lexeme: c 	 Lineno: 7
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 7
	Token Name: NAME 	Lexeme: b 	 Lineno: 7
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 7
	Token Name: DELIMITERS 	Lexeme: } 	 Lineno: 8
